
--- Starting new training session ---
Training FNO model with config: configs/training/FNO.yaml
All devices: [CudaDevice(id=0)]
Default backend: gpu
Starting training for FNO

--- Training for family: Prada2013_CC ---
Loading dataset from: data/dataset/FNO/Prada2013_CC_11000.npz

--- Training anode model for Prada2013_CC ---
X_train shape: (9900, 24, 85, 4), Y_train shape: (9900, 24, 85, 1)

Training anode:   0%|          | 0/150 [00:00<?, ?it/s]2026-06-03 23:23:46.297170: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.

Epoch 1/150 | Train Loss: 0.1477 | Test Loss: 0.1299:   0%|          | 0/150 [00:14<?, ?it/s]
Epoch 1/150 | Train Loss: 0.1477 | Test Loss: 0.1299:   1%|          | 1/150 [00:14<35:15, 14.20s/it]
Epoch 2/150 | Train Loss: 0.0595 | Test Loss: 0.0321:   1%|          | 1/150 [00:17<35:15, 14.20s/it]
Epoch 2/150 | Train Loss: 0.0595 | Test Loss: 0.0321:   1%|▏         | 2/150 [00:17<19:37,  7.95s/it]
Epoch 3/150 | Train Loss: 0.0447 | Test Loss: 0.0250:   1%|▏         | 2/150 [00:21<19:37,  7.95s/it]
Epoch 3/150 | Train Loss: 0.0447 | Test Loss: 0.0250:   2%|▏         | 3/150 [00:21<14:38,  5.97s/it]
Epoch 4/150 | Train Loss: 0.0383 | Test Loss: 0.0247:   2%|▏         | 3/150 [00:25<14:38,  5.97s/it]
Epoch 4/150 | Train Loss: 0.0383 | Test Loss: 0.0247:   3%|▎         | 4/150 [00:25<12:17,  5.05s/it]
Epoch 5/150 | Train Loss: 0.0328 | Test Loss: 0.0451:   3%|▎         | 4/150 [00:28<12:17,  5.05s/it]
Epoch 5/150 | Train Loss: 0.0328 | Test Loss: 0.0451:   3%|▎         | 5/150 [00:28<10:55,  4.52s/it]
Epoch 6/150 | Train Loss: 0.0337 | Test Loss: 0.0498:   3%|▎         | 5/150 [00:32<10:55,  4.52s/it]
Epoch 6/150 | Train Loss: 0.0337 | Test Loss: 0.0498:   4%|▍         | 6/150 [00:32<10:09,  4.23s/it]
Epoch 7/150 | Train Loss: 0.0285 | Test Loss: 0.0174:   4%|▍         | 6/150 [00:35<10:09,  4.23s/it]
Epoch 7/150 | Train Loss: 0.0285 | Test Loss: 0.0174:   5%|▍         | 7/150 [00:35<09:35,  4.03s/it]
Epoch 8/150 | Train Loss: 0.0249 | Test Loss: 0.0151:   5%|▍         | 7/150 [00:39<09:35,  4.03s/it]
Epoch 8/150 | Train Loss: 0.0249 | Test Loss: 0.0151:   5%|▌         | 8/150 [00:39<09:14,  3.91s/it]
Epoch 9/150 | Train Loss: 0.0254 | Test Loss: 0.0226:   5%|▌         | 8/150 [00:43<09:14,  3.91s/it]
Epoch 9/150 | Train Loss: 0.0254 | Test Loss: 0.0226:   6%|▌         | 9/150 [00:43<08:58,  3.82s/it]
Epoch 10/150 | Train Loss: 0.0211 | Test Loss: 0.0150:   6%|▌         | 9/150 [00:46<08:58,  3.82s/it]
Epoch 10/150 | Train Loss: 0.0211 | Test Loss: 0.0150:   7%|▋         | 10/150 [00:46<08:46,  3.76s/it]
Epoch 11/150 | Train Loss: 0.0205 | Test Loss: 0.0081:   7%|▋         | 10/150 [00:50<08:46,  3.76s/it]
Epoch 11/150 | Train Loss: 0.0205 | Test Loss: 0.0081:   7%|▋         | 11/150 [00:50<08:34,  3.70s/it]
Epoch 12/150 | Train Loss: 0.0183 | Test Loss: 0.0160:   7%|▋         | 11/150 [00:53<08:34,  3.70s/it]
Epoch 12/150 | Train Loss: 0.0183 | Test Loss: 0.0160:   8%|▊         | 12/150 [00:53<08:28,  3.68s/it]
Epoch 13/150 | Train Loss: 0.0143 | Test Loss: 0.0071:   8%|▊         | 12/150 [00:57<08:28,  3.68s/it]
Epoch 13/150 | Train Loss: 0.0143 | Test Loss: 0.0071:   9%|▊         | 13/150 [00:57<08:18,  3.64s/it]
Epoch 14/150 | Train Loss: 0.0130 | Test Loss: 0.0104:   9%|▊         | 13/150 [01:01<08:18,  3.64s/it]
Epoch 14/150 | Train Loss: 0.0130 | Test Loss: 0.0104:   9%|▉         | 14/150 [01:01<08:10,  3.61s/it]
Epoch 15/150 | Train Loss: 0.0112 | Test Loss: 0.0069:   9%|▉         | 14/150 [01:04<08:10,  3.61s/it]
Epoch 15/150 | Train Loss: 0.0112 | Test Loss: 0.0069:  10%|█         | 15/150 [01:04<08:03,  3.58s/it]
Epoch 16/150 | Train Loss: 0.0091 | Test Loss: 0.0120:  10%|█         | 15/150 [01:08<08:03,  3.58s/it]
Epoch 16/150 | Train Loss: 0.0091 | Test Loss: 0.0120:  11%|█         | 16/150 [01:08<07:57,  3.57s/it]
Epoch 17/150 | Train Loss: 0.0078 | Test Loss: 0.0084:  11%|█         | 16/150 [01:11<07:57,  3.57s/it]
Epoch 17/150 | Train Loss: 0.0078 | Test Loss: 0.0084:  11%|█▏        | 17/150 [01:11<07:52,  3.56s/it]
Epoch 18/150 | Train Loss: 0.0061 | Test Loss: 0.0060:  11%|█▏        | 17/150 [01:15<07:52,  3.56s/it]
Epoch 18/150 | Train Loss: 0.0061 | Test Loss: 0.0060:  12%|█▏        | 18/150 [01:15<07:47,  3.54s/it]
Epoch 19/150 | Train Loss: 0.0057 | Test Loss: 0.0076:  12%|█▏        | 18/150 [01:18<07:47,  3.54s/it]
Epoch 19/150 | Train Loss: 0.0057 | Test Loss: 0.0076:  13%|█▎        | 19/150 [01:18<07:44,  3.54s/it]
Epoch 20/150 | Train Loss: 0.0038 | Test Loss: 0.0026:  13%|█▎        | 19/150 [01:22<07:44,  3.54s/it]
Epoch 20/150 | Train Loss: 0.0038 | Test Loss: 0.0026:  13%|█▎        | 20/150 [01:22<07:38,  3.52s/it]
Epoch 21/150 | Train Loss: 0.0022 | Test Loss: 0.0029:  13%|█▎        | 20/150 [01:25<07:38,  3.52s/it]
Epoch 21/150 | Train Loss: 0.0022 | Test Loss: 0.0029:  14%|█▍        | 21/150 [01:25<07:35,  3.53s/it]
Epoch 22/150 | Train Loss: 0.0016 | Test Loss: 0.0013:  14%|█▍        | 21/150 [01:29<07:35,  3.53s/it]
Epoch 22/150 | Train Loss: 0.0016 | Test Loss: 0.0013:  15%|█▍        | 22/150 [01:29<07:31,  3.53s/it]
Epoch 23/150 | Train Loss: 0.0011 | Test Loss: 0.0009:  15%|█▍        | 22/150 [01:32<07:31,  3.53s/it]
Epoch 23/150 | Train Loss: 0.0011 | Test Loss: 0.0009:  15%|█▌        | 23/150 [01:32<07:27,  3.52s/it]
Epoch 24/150 | Train Loss: 0.0009 | Test Loss: 0.0008:  15%|█▌        | 23/150 [01:36<07:27,  3.52s/it]
Epoch 24/150 | Train Loss: 0.0009 | Test Loss: 0.0008:  16%|█▌        | 24/150 [01:36<07:21,  3.51s/it]
Epoch 25/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  16%|█▌        | 24/150 [01:39<07:21,  3.51s/it]
Epoch 25/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  17%|█▋        | 25/150 [01:39<07:19,  3.52s/it]
